circuit_name,description
hsa04010_MYC-MAX_backward,"Proliferation, differentiation"
hsa04010_PLA2G4B-PLA2G4E-PLA2G4F-PLA2G4D-PLA2G4A-PLA2G4C-JMJD7-PLA2G4B_backward,"Branch of proliferation, differentiation"
hsa04010_STMN1_backward,"Branch of proliferation, differentiation"
hsa04010_MAPT_backward,"Branch of proliferation, differentiation"
hsa04010_NFKB1-NFKB2-RELA-RELB_backward,"Proliferation, inflammation, anti-apoptosis"
hsa04010_CSF1R-EGFR-EPHA2-ERBB2-ERBB3-ERBB4-FGFR1-FGFR3-FGFR2-FGFR4-FLT1-FLT3-FLT4-IGF1R-INSR-KDR-KIT-MET-NGFR-NTRK1-NTRK2-PDGFRA-PDGFRB-RET-TEK_backward,"Proliferation, differentiation"
hsa04010_NR4A1_backward,"Proliferation, differentiation"
hsa04010_NLK_backward,Wnt signaling pathway
hsa04010_CDC25B_backward,"Branch of proliferation, differentiation, inflammation"
hsa04010_ATF4_backward,"Proliferation, differentiation"
hsa04010_MEF2C_backward,"Proliferation, differentiation, inflammation / Apoptosis pathway"
hsa04010_MAX_backward,"Proliferation, differentiation, inflammation / Apoptosis pathway"
hsa04010_DDIT3_backward,"Proliferation, differentiation, inflammation / Apoptosis pathway"
hsa04010_ELK4_backward,"Proliferation, differentiation, inflammation / Apoptosis pathway"
hsa04010_TP53_backward,p53 signaling pathway
hsa04010_ELK1_backward,"Proliferation, differentiation"
hsa04010_ATF2_backward,p53 signaling pathway
hsa04010_HSPB1_backward,"Branch of proliferation, differentiation, inflammation"
hsa04010_MAP4K2_backward,TNF signaling pathway
hsa04010_STK3-STK4_backward,TNF signaling pathway
hsa04010_MAP3K2-MAP3K3_backward,Downstream of CDC42/RAC
hsa04010_CRK-CRKL_backward,Undefined
hsa04010_ARRB1-ARRB2_backward,Undefined
hsa04010_JUND_backward,"Proliferation, differentiation, inflammation / Apoptosis pathway"
hsa04010_FOS-JUN_backward,"Proliferation, differentiation, inflammation / Apoptosis pathway"
hsa04010_NFATC3_backward,Downstream of Ca2+
hsa04010_NFATC1_backward,Downstream of Ca2+
hsa04010_FLNA_backward,Undefined
hsa04010_FOS_backward,"Proliferation, differentiation"
hsa04010_ELK4_backward,"Proliferation, differentiation, inflammation / Apoptosis pathway"
hsa04010_ELK1_backward,"Proliferation, differentiation"
hsa04010_ATF4_backward,"Proliferation, differentiation"
hsa04012_ERBB3-ERBB3_backward,Undefined membrane
hsa04012_ELK1_backward,
hsa04012_STAT5A-STAT5B_backward,
hsa04012_GSK3B_backward,
hsa04012_EIF4EBP1_backward,
hsa04012_RPS6KB1-RPS6KB2_backward,
hsa04012_CDKN1A_backward,
hsa04012_CDKN1B_backward,
hsa04012_STAT5A-STAT5B_backward,
hsa04012_BAD_backward,
hsa04012_CBL-CBLB_backward,
hsa04012_ELK1_backward,
hsa04012_PTK2_backward,
