sample_id,Set
00012236-6e95-4810-b400-fa88c76c6329_MALDI1,test
000eaed7-d01a-4830-89db-53d9e162b642,test
00154406-ab67-43ef-81e2-0c25987d2602,test
00207b6d-3901-4f88-8fec-4ec9ce2e4019,train
00277f20-a6f3-40fc-b582-33795727a3f9,train
0041e6bb-047e-4d27-b26a-baf23fd10781,test
00428ec1-ed66-47ff-b37d-b16e3f047d38,test
0043f2aa-7a23-4a9a-a83b-9237a365fc88,train
00469af6-f0e4-4ecd-bc9a-6653cf740ba2,test
004a7704-1bdf-4f3d-bf30-6e2ad2598702,test
005bc790-57d3-4bd4-83e7-414a351a1f15_3312,test
007893a6-6ff9-4fe9-9b4b-d65fb4f181ca_MALDI2,test
008c7f1a-a6ee-46f4-97ac-cbac4eacc5b3,test
0095d2cc-42cd-45db-a1f1-325a8d7d5692_3313,test
009cec21-e6ca-4a1d-9309-0c028c0b3999,train
00a481af-5b89-4987-8be4-041d19bee175,train
00aa2ddb-1819-475c-85e6-ed39d6efe6bc,train
00ac28b8-4461-449d-bf25-de5c541a5393,train
00b2ed8e-1b22-41c1-80d7-4d1ae14de36c_MALDI1,test
00b8b1c1-1a90-42df-90cb-63388b4ca1c0_MALDI2,test
00be2d0b-88e0-47ff-bfb1-b218d4ef3120_MALDI2,test
00c24a3d-1924-4943-aa85-fa8200f9e067_MALDI2,test
00c6e866-f9af-4960-831c-91290e13070f,train
00c70772-de60-4483-a9a3-2dc448fd0e22_MALDI1,test
00dbc1fb-d029-47d2-934c-8f7bad85a64f,test
00e051e6-ac27-46c7-9527-830bcc920292,train
00eb1115-5ad3-450f-9a77-81cd80cedb95_MALDI1,test
00ebbba1-2cb3-4c9a-bbe0-2164ff133ac3_MALDI1,test
00ff3e5f-9e56-42d6-98a1-975341fe46e8_MALDI2,test
01034c8c-6b1e-4d94-a555-bfcfd2a37a8a,test
0107f262-195b-434f-b920-355fe05bd9b9,train
013208d8-b4e6-4cd6-8888-eab9a2ad91c7,train
013ac7cd-30a8-4d9f-986e-80168b5fe11d_MALDI2,test
013ceaf9-4566-473d-9a7e-d46cca3a8b8f,test
013fff09-c56c-437b-bb0e-ab6cec664084,train
0140f77c-ccef-4fd5-9be8-cb6fece671ae_MALDI1,test
0151396b-eb94-4c7b-849e-d8d664bc0737_MALDI1,test
0154673c-8cfb-4858-83db-e88aaf229386_MALDI1,test
